iter	RMSE
0	0.966004035
1	0.932089414
2	0.9012126202
3	0.8730021243
4	0.8469302461
5	0.8228038851
6	0.7971949701
7	0.7759160426
8	0.7552281454
9	0.7356581835
10	0.7172334971
11	0.7001465898
12	0.6840476807
13	0.6697852754
14	0.6583320799
15	0.646356272
16	0.6342360223
17	0.6216887331
18	0.6113157285
19	0.6022847564
20	0.5935474912
21	0.582275584
22	0.5768509948
23	0.5679778271
24	0.5607234517
25	0.5513480173
26	0.5439843053
27	0.5355453242
28	0.5297692576
29	0.5218522318
30	0.5170573096
31	0.512097909
32	0.507582961
33	0.5044044837
34	0.499829564
35	0.496924285
36	0.4915806493
37	0.4861378164
38	0.4793353918
39	0.4730807147
40	0.4680538698
41	0.4647983551
42	0.459614739
43	0.4575044103
44	0.454320847
45	0.4513624583
46	0.4477387559
47	0.4425508953
48	0.4393686717
49	0.435699116
50	0.4325617153
51	0.4305641335
52	0.4284837765
53	0.4246021373
54	0.421300968
55	0.4183138058
56	0.4166341492
57	0.4149737634
58	0.413764689
59	0.4107665951
60	0.4081695346
61	0.406473493
62	0.4050131053
63	0.4024796192
64	0.3997727288
65	0.3982277023
66	0.3965829785
67	0.3952299385
68	0.3940816295
69	0.3918268179
70	0.3890682707
71	0.3879000768
72	0.3862442068
73	0.3827447544
74	0.3815208181
75	0.3803555233
76	0.3789895896
77	0.3776083951
78	0.3768788569
79	0.3759785745
80	0.3747012769
81	0.3737316458
82	0.3730880654
83	0.3726829691
84	0.3718732557
85	0.3693068094
86	0.3686619894
87	0.3669497947
88	0.366640582
89	0.365935235
90	0.3651227486
91	0.3638825309
92	0.3623615913
93	0.3609826982
94	0.3602059237
95	0.3594296797
96	0.3585314717
97	0.3579430098
98	0.3566922624
99	0.3559215499
100	0.3553183199
101	0.3546458252
102	0.3530760935
103	0.3505604208
104	0.3495752322
105	0.3493714101
106	0.3488947841
107	0.3481667734
108	0.3475539928
109	0.3469890772
110	0.3462249731
111	0.345189296
112	0.3448092925
113	0.343687416
114	0.342832769
115	0.3424444474
116	0.3418428006
117	0.3413954423
118	0.3407194722
119	0.3404598476
120	0.3392909785
121	0.3373237046
122	0.3367205892
123	0.3363121846
124	0.3341313858
125	0.333638303
126	0.3329947893
127	0.3325217878
128	0.3320384178
129	0.3313739598
130	0.3303825209
131	0.329664473
132	0.328748886
133	0.3269702141
134	0.3264674386
135	0.3249456231
136	0.3244618125
137	0.3239438564
138	0.3225466579
139	0.3208326425
140	0.320353687
141	0.3196766736
142	0.319156192
143	0.3181951259
144	0.3180185178
145	0.3172086257
146	0.316290236
147	0.3157137544
148	0.3154290275
149	0.3150111091
150	0.3145462969
151	0.3141664018
152	0.313324899
153	0.3130105246
154	0.3126679947
155	0.3121100669
156	0.3120777586
157	0.3120390659
158	0.3118327329
159	0.3114059919
160	0.31036969
161	0.309033775
162	0.3086804899
163	0.3077695922
164	0.3071347383
165	0.3071215682
166	0.3068460573
167	0.306307258
168	0.3056158176
169	0.3051702013
170	0.3047557479
171	0.3043687607
172	0.3043582048
173	0.3037906388
174	0.3037803991
175	0.3037704159
176	0.3034114518
177	0.3027686851
178	0.3017715873
179	0.3015146049
180	0.3011053664
181	0.300939547
182	0.3008672748
183	0.3004956075
184	0.3003053611
185	0.2996663208
186	0.2989621272
187	0.2987088435
188	0.2973083264
189	0.296974086
190	0.2963531232
191	0.2963356659
192	0.2959445258
193	0.2948211071
194	0.2944453554
195	0.2941391176
196	0.2941278436
197	0.2924765475
198	0.2923688263
199	0.2923327414
200	0.2922795039
201	0.2920937694
202	0.2905455951
203	0.2900407044
204	0.2896888277
205	0.2891144997
206	0.2887708337
207	0.2877201381
208	0.2872400369
209	0.2867715432
210	0.2864466235
211	0.2864394421
212	0.2860001886
213	0.2855134293
214	0.2852462117
215	0.2849310834
216	0.2836064785
217	0.2832862142
218	0.2826627435
219	0.2824109884
220	0.2820306458
221	0.2814961583
222	0.2812190534
223	0.2802984404
224	0.2799183356
225	0.2796470837
226	0.2791070501
227	0.2788530359
228	0.278773103
229	0.27779914
230	0.2773090709
231	0.2770717883
232	0.2756237217
233	0.2752533023
234	0.2747692529
235	0.274748648
236	0.2745306879
237	0.2733751131
238	0.273016215
239	0.2726619328
240	0.2720275904
241	0.2717078703
242	0.2712974265
243	0.2710257382
244	0.2702471463
245	0.2695986517
246	0.2686503103
247	0.2679954525
248	0.2675294302
249	0.2672674846
250	0.2670796336
251	0.2668436451
252	0.2665298084
253	0.2661277533
254	0.2656711114
255	0.2653233286
256	0.2645196289
257	0.2638184902
258	0.2634279046
259	0.2632139353
260	0.2632065806
261	0.2628821163
262	0.2625314263
263	0.2622842981
264	0.261781296
265	0.2613841776
266	0.2604737183
267	0.2596516435
268	0.2594810912
269	0.2585557448
270	0.2583890134
271	0.2579637709
272	0.2573253685
273	0.2571764626
274	0.2563779796
275	0.2560456338
276	0.2557762149
277	0.2551932884
278	0.2550799112
279	0.2544209282
280	0.254183551
281	0.2540354836
282	0.2536496255
283	0.2531349765
284	0.252506051
285	0.2522634434
286	0.2518926179
287	0.2515542195
288	0.2513259065
289	0.2511814955
290	0.251175067
291	0.2509491797
292	0.2508145004
293	0.2503482335
294	0.249795842
295	0.2497897786
296	0.2494827453
297	0.2492755653
298	0.2485674017
299	0.2484438289
300	0.2484377632
301	0.2482064152
302	0.2479786738
303	0.24771231
304	0.2472013567
305	0.2469607524
306	0.2467944936
307	0.2465971935
308	0.2464625778
309	0.2458199977
310	0.2453252569
311	0.2443493263
312	0.2440365033
313	0.2438173249
314	0.2435987706
315	0.2426356645
316	0.2423139259
317	0.2420417648
318	0.2418626983
319	0.2410261555
320	0.2408595328
321	0.2404274262
322	0.2402407605
323	0.2401300763
324	0.2396971778
325	0.2393522784
326	0.2392243039
327	0.2391003035
328	0.2386916993
329	0.2385182483
330	0.2383568204
331	0.2381780931
332	0.2380359365
333	0.2379221925
334	0.2377071779
335	0.2375545971
336	0.2371152731
337	0.236861653
338	0.2365897514
339	0.2363054885
340	0.2361951225
341	0.2360928138
342	0.2357232702
343	0.2355684628
344	0.2352573945
345	0.234992067
346	0.2344625713
347	0.2343469662
348	0.234342368
349	0.2332228787
350	0.2329957182
351	0.2328514189
352	0.2324597696
353	0.232316782
354	0.232192778
355	0.2319525535
356	0.2317966302
357	0.231785173
358	0.2317810718
359	0.2312058103
360	0.2310971588
361	0.2309189
362	0.2306127927
363	0.2304757584
364	0.2301934552
365	0.2300065912
366	0.2299356277
367	0.2295764023
368	0.2290945326
369	0.2284666527
370	0.2283918174
371	0.2279434826
372	0.2277349968
373	0.2277306551
374	0.2276080575
375	0.227272975
376	0.2270771448
377	0.2268371711
378	0.2264568544
379	0.2263798739
380	0.2259800029
381	0.2257541852
382	0.2256798362
383	0.2252840475
384	0.2251183164
385	0.2246040745
386	0.2243063428
387	0.2241069799
388	0.223957476
389	0.22333103
390	0.2231016244
391	0.2225339467
392	0.2222096529
393	0.2220657909
394	0.2219420119
395	0.2217930458
396	0.2216525737
397	0.2214606035
398	0.2211841563
399	0.2211739431
400	0.2210952152
401	0.2210120054
402	0.2210083704
403	0.2210040508
404	0.2209236208
405	0.2206578597
406	0.2202166254
407	0.2202130996
408	0.2200287612
409	0.219935072
410	0.2198600476
411	0.2198566252
412	0.2196989846
413	0.2193977951
414	0.2192532297
415	0.2190691317
416	0.2189845232
417	0.218872259
418	0.2185010625
419	0.2179255713
420	0.2179222422
421	0.2177572981
422	0.2175325851
423	0.2173092893
424	0.2172210951
425	0.2171338247
426	0.2167839186
427	0.2167796935
428	0.2167764343
429	0.2167732701
430	0.216596639
431	0.2165224769
432	0.2165185748
433	0.2163893328
434	0.2163855492
435	0.2163061297
436	0.2161418161
437	0.2160751128
438	0.2155629383
439	0.2152027622
440	0.2150862855
441	0.2150123244
442	0.2149478466
443	0.2148066603
444	0.2146853479
445	0.2142838652
446	0.214169733
447	0.2136599073
448	0.2132380578
449	0.2131199474
450	0.212623887
451	0.212561111
452	0.2117273581
453	0.2116328901
454	0.2115596362
455	0.2114595947
456	0.2113133542
457	0.2109392559
458	0.2108063147
459	0.2107161857
460	0.2106317481
461	0.2104522872
462	0.2103304144
463	0.2102342231
464	0.2099020726
465	0.2097525373
466	0.2094225354
467	0.2093402769
468	0.2089553773
469	0.208597269
470	0.2085941301
471	0.2084050227
472	0.2083263464
473	0.2082259407
474	0.2081507228
475	0.2080729375
476	0.2080103084
477	0.2080066979
478	0.2077658204
479	0.2076810765
480	0.2076091281
481	0.207479222
482	0.2073815085
483	0.2073018693
484	0.2071319525
485	0.2070548899
486	0.207035286
487	0.2069536801
488	0.2065778095
489	0.2060441473
490	0.205713062
491	0.2052395913
492	0.2047580736
493	0.2044452583
494	0.2043617873
495	0.2040017853
496	0.2039209415
497	0.2035863648
498	0.2034950363
499	0.2032907282
500	0.2031878514
501	0.2029789502
502	0.202753138
503	0.2025331028
504	0.2024659144
505	0.2021431023
506	0.2020505497
507	0.2018426796
508	0.2018399221
509	0.2016035187
510	0.2010398162
511	0.2010371249
512	0.200876847
513	0.2008074545
514	0.2005362865
515	0.2005336363
516	0.2004340006
517	0.200359721
518	0.2001487461
519	0.2001461837
520	0.1998560731
521	0.1994472794
522	0.1991222239
523	0.1988245185
524	0.1986611905
525	0.1983182899
526	0.1982487603
527	0.1981574859
528	0.1980103669
529	0.197856959
530	0.1978057037
531	0.1978031212
532	0.1973540563
533	0.1971597998
534	0.1965611866
535	0.1964790136
536	0.1964180691
537	0.1963594937
538	0.1962403577
539	0.195858457
540	0.1957427994
541	0.195686072
542	0.1953181101
543	0.195089954
544	0.1950874088
545	0.1947925204
546	0.1947123206
547	0.1943804547
548	0.1942435478
549	0.1940976205
550	0.1939767054
551	0.193881809
552	0.1937372929
553	0.1937347758
554	0.1935178701
555	0.1933865936
556	0.1933320432
557	0.193112349
558	0.1929960513
559	0.1926989256
560	0.1925321899
561	0.1924107152
562	0.1921770865
563	0.1919380391
564	0.1914450133
565	0.1914425019
566	0.1914400642
567	0.1913158949
568	0.1913135273
569	0.1913111671
570	0.1913089344
571	0.1911495812
572	0.1910328335
573	0.1909302697
574	0.1908596703
575	0.1905486915
576	0.190400219
577	0.1901472646
578	0.1898843949
579	0.1897451316
580	0.1895560565
581	0.1893018603
582	0.1892994949
583	0.1888623119
584	0.1888183224
585	0.1887382212
586	0.1886585725
587	0.1886562514
588	0.1885213329
589	0.1881182565
590	0.1881159614
591	0.1881126128
592	0.1878630294
593	0.1878114018
594	0.1875814988
595	0.1874712145
596	0.1873644939
597	0.187362328
598	0.187258949
599	0.1872568805
600	0.187024502
601	0.1869392873
602	0.1867078577
603	0.1864903224
604	0.1861860788
605	0.1858620935
606	0.1857839159
607	0.1857350463
608	0.1855165556
609	0.1851601546
610	0.18507726
611	0.1850032782
612	0.1848749235
613	0.1847898517
614	0.1846610811
615	0.1842409128
616	0.1840198306
617	0.1839555045
618	0.183856574
619	0.1836569413
620	0.1835798757
621	0.1833547392
622	0.1831135907
623	0.1829069724
624	0.1826957614
625	0.1823459534
626	0.1820915008
627	0.1819796336
628	0.1818213011
629	0.1817523431
630	0.1815600687
631	0.1812317007
