iter	Passed	Remaining
0	143	143743
1	147	73376
2	150	49920
3	153	38256
4	156	31206
5	160	26543
6	163	23165
7	166	20660
8	170	18731
9	173	17147
10	176	15877
11	179	14802
12	182	13870
13	185	13087
14	189	12413
15	192	11822
16	195	11310
17	199	10874
18	202	10454
19	206	10105
20	209	9762
21	212	9453
22	215	9168
23	219	8906
24	222	8685
25	225	8456
26	228	8250
27	232	8071
28	236	7902
29	239	7755
30	243	7607
31	246	7466
32	250	7330
33	253	7213
34	257	7094
35	260	6986
36	264	6871
37	267	6764
38	270	6674
39	274	6592
40	278	6506
41	281	6418
42	284	6338
43	288	6263
44	291	6189
45	294	6113
46	297	6041
47	301	5988
48	305	5933
49	309	5871
50	312	5806
51	315	5748
52	318	5693
53	321	5637
54	324	5580
55	328	5529
56	331	5479
57	334	5440
58	338	5397
59	342	5358
60	345	5311
61	348	5278
62	352	5241
63	355	5201
64	358	5159
65	361	5118
66	365	5083
67	368	5051
68	371	5012
69	375	4986
70	378	4955
71	382	4926
72	385	4894
73	389	4869
74	393	4847
75	396	4817
76	399	4786
77	402	4755
78	405	4731
79	409	4705
80	412	4677
81	415	4652
82	419	4629
83	423	4616
84	427	4597
85	431	4582
86	434	4563
87	439	4551
88	443	4541
89	447	4529
90	451	4513
91	456	4504
92	460	4491
93	464	4479
94	470	4482
95	474	4466
96	478	4457
97	482	4444
98	487	4436
99	491	4426
100	496	4415
101	499	4396
102	503	4382
103	506	4364
104	510	4348
105	512	4319
106	515	4301
107	518	4286
108	522	4272
109	526	4257
110	529	4241
111	533	4227
112	536	4213
113	540	4197
114	543	4182
115	546	4165
116	550	4153
117	553	4138
118	556	4122
119	559	4105
120	563	4092
121	566	4079
122	570	4066
123	573	4053
124	577	4040
125	580	4029
126	584	4015
127	587	4003
128	590	3989
129	594	3978
130	597	3964
131	601	3952
132	604	3940
133	607	3927
134	611	3917
135	614	3905
136	618	3893
137	621	3881
138	624	3869
139	628	3857
140	631	3847
141	634	3835
142	637	3822
143	641	3813
144	644	3801
145	647	3789
146	651	3778
147	654	3767
148	657	3757
149	661	3746
150	664	3735
151	667	3722
152	671	3717
153	675	3710
154	679	3702
155	682	3691
156	685	3678
157	688	3667
158	691	3658
159	695	3650
160	698	3641
161	702	3636
162	706	3629
163	710	3619
164	713	3609
165	716	3599
166	720	3591
167	723	3584
168	727	3577
169	731	3570
170	735	3563
171	739	3557
172	741	3543
173	744	3535
174	746	3521
175	749	3507
176	763	3549
177	767	3545
178	772	3541
179	776	3538
180	780	3533
181	785	3530
182	788	3520
183	793	3520
184	797	3513
185	802	3510
186	806	3507
187	810	3498
188	814	3493
189	817	3486
190	822	3483
191	825	3474
192	829	3468
193	834	3465
194	838	3461
195	844	3463
196	847	3455
197	852	3452
198	856	3447
199	860	3440
200	863	3431
201	866	3424
202	869	3415
203	873	3407
204	876	3398
205	879	3390
206	883	3385
207	887	3377
208	890	3370
209	894	3363
210	897	3357
211	900	3346
212	903	3339
213	907	3331
214	910	3324
215	914	3318
216	917	3311
217	920	3302
218	924	3295
219	928	3290
220	932	3286
221	936	3280
222	939	3272
223	942	3264
224	945	3258
225	949	3250
226	952	3244
227	955	3236
228	958	3228
229	962	3221
230	966	3217
231	970	3211
232	973	3203
233	976	3197
234	980	3190
235	983	3182
236	986	3175
237	989	3168
238	993	3162
239	996	3156
240	1000	3150
241	1003	3142
242	1006	3135
243	1010	3129
244	1012	3121
245	1016	3114
246	1019	3107
247	1022	3100
248	1026	3094
249	1029	3088
250	1032	3080
251	1035	3074
252	1039	3068
253	1042	3062
254	1045	3055
255	1048	3048
256	1052	3041
257	1055	3035
258	1058	3029
259	1061	3021
260	1064	3014
261	1067	3007
262	1071	3003
263	1075	2997
264	1078	2990
265	1081	2984
266	1085	2978
267	1088	2974
268	1092	2967
269	1095	2961
270	1098	2954
271	1101	2949
272	1105	2944
273	1108	2937
274	1112	2932
275	1115	2927
276	1119	2922
277	1123	2916
278	1126	2910
279	1129	2904
280	1132	2898
281	1136	2892
282	1139	2887
283	1142	2881
284	1146	2875
285	1149	2870
286	1152	2864
287	1156	2858
288	1159	2852
289	1162	2845
290	1165	2839
291	1168	2833
292	1171	2827
293	1174	2820
294	1178	2815
295	1181	2809
296	1184	2804
297	1188	2798
298	1191	2793
299	1194	2787
300	1197	2781
301	1201	2775
302	1204	2770
303	1207	2764
304	1210	2758
305	1214	2753
306	1217	2747
307	1220	2741
308	1223	2736
309	1226	2730
310	1229	2724
311	1233	2720
312	1237	2716
313	1240	2710
314	1244	2705
315	1248	2702
316	1252	2697
317	1255	2691
318	1258	2686
319	1262	2682
320	1265	2676
321	1268	2670
322	1271	2664
323	1274	2659
324	1278	2655
325	1281	2650
326	1285	2644
327	1288	2639
328	1292	2635
329	1295	2630
330	1298	2625
331	1301	2619
332	1306	2616
333	1310	2613
334	1314	2608
335	1317	2603
336	1321	2600
337	1326	2597
338	1330	2593
339	1333	2589
340	1337	2585
341	1342	2583
342	1346	2579
343	1351	2576
344	1356	2574
345	1361	2572
346	1365	2570
347	1370	2566
348	1375	2565
349	1380	2563
350	1387	2564
351	1399	2576
352	1403	2572
353	1408	2570
354	1413	2567
355	1418	2566
356	1423	2564
357	1428	2561
358	1433	2558
359	1436	2554
360	1440	2548
361	1443	2543
362	1446	2537
363	1449	2532
364	1452	2527
365	1456	2522
366	1459	2517
367	1462	2511
368	1465	2506
369	1468	2501
370	1472	2496
371	1475	2490
372	1478	2485
373	1481	2479
374	1484	2474
375	1487	2469
376	1490	2463
377	1493	2457
378	1496	2452
379	1499	2446
380	1502	2440
381	1504	2434
382	1507	2428
383	1510	2423
384	1513	2418
385	1516	2412
386	1519	2407
387	1522	2401
388	1525	2396
389	1528	2390
390	1531	2385
391	1534	2379
392	1537	2374
393	1539	2368
394	1542	2362
395	1545	2357
396	1548	2352
397	1551	2346
398	1554	2341
399	1556	2335
400	1559	2329
401	1562	2325
402	1565	2319
403	1568	2314
404	1571	2308
405	1575	2304
406	1578	2299
407	1581	2294
408	1584	2289
409	1587	2284
410	1590	2279
411	1593	2274
